Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.759493670886076,0.7615445684294094,0.759493670886076,0.7594247164192299
Random Forest,0.7215189873417721,0.758095238095238,0.7215189873417721,0.7169229147882293
Decision Tree,0.6835443037974683,0.683955285221108,0.6835443037974683,0.6806485248275229
